W             ,              231          ,             Average W     ,             dW            ,              1            ,              2            ,              3            ,              4            ,              5            ,              6            ,              7            ,              8            ,              9            ,              10           ,              11           ,              12           ,              13           ,              14           ,              15           ,              16           ,              17           ,              18           ,              19           ,              20           ,              21           ,              22           ,              23           ,              24           ,              25           ,              26           ,              27           ,              28           ,              29           ,              30           ,              31           ,              32           ,              33           ,              34           ,              35           ,              36           ,              37           ,              38           ,              39           ,              40           ,              41           ,              42           ,              43           ,              44           ,              45           ,              46           ,              47           ,              48           ,              49           ,              50           ,              51           ,              52           ,              53           ,              54           ,              55           ,              56           ,              57           ,              58           ,              59           ,              60           ,              61           ,              62           ,              63           ,              64           ,              65           ,              66           ,              67           ,              68           ,              69           ,              70           ,              71           ,              72           ,              73           ,              74           ,              75           ,              76           ,              77           ,              78           ,              79           ,              80           ,              81           ,              82           ,              83           ,              84           ,              85           ,              86           ,              87           ,              88           ,              89           ,              90           ,              91           ,              92           ,              93           ,              94           ,              95           ,              96           ,              97           ,              98           ,              99           ,              100          ,              101          ,              102          ,              103          ,              104          ,              105          ,              106          ,              107          ,              108          ,              109          ,              110          ,              111          ,              112          ,              113          ,              114          ,              115          ,              116          ,              117          ,              118          ,              119          ,              120          ,              121          ,              122          ,              123          ,              124          ,              125          ,              126          ,              127          ,              128          ,              129          ,              130          ,              131          ,              132          ,              133          ,              134          ,              135          ,              136          ,              137          ,              138          ,              139          ,              140          ,              141          ,              142          ,              143          ,              144          ,              145          ,              146          ,              147          ,              148          ,              149          ,              150          ,              151          ,              152          ,              153          ,              154          ,              155          ,              156          ,              157          ,              158          ,              159          ,              160          ,              161          ,              162          ,              163          ,              164          ,              165          ,              166          ,              167          ,              168          ,              169          ,              170          ,              171          ,              172          ,              173          ,              174          ,              175          ,              176          ,              177          ,              178          ,              179          ,              180          ,              181          ,              182          ,              183          ,              184          ,              185          ,              186          ,              187          ,              188          ,              189          ,              190          ,              191          ,              192          ,              193          ,              194          ,              195          ,              196          ,              197          ,              198          ,              199          ,              200          ,              201          ,              202          ,              203          ,              204          ,              205          ,              206          ,              207          ,              208          ,              209          ,              210          ,              211          ,              212          ,              213          ,              214          ,              215          ,              216          ,              217          ,              218          ,              219          ,              220          ,              221          ,              222          ,              223          ,              224          ,              225          ,              226          ,              227          ,              228          ,              229          ,              230          ,              231          ,              
0             ,             0             ,              6.75         ,             0             ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              
 0.001        ,              3.6          ,              6.48506705698593           ,             -0.264932943014069          ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.65399677121779           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              5.66030644891613           ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              6.75         ,              
 4            ,              14400        ,              5.98362948324275           ,             -0.766370516757249          ,              5.88990231035825           ,              5.90274918999639           ,              5.8899023487909            ,              5.87636835480516           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              2.99090007382498           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.67277775887923           ,              5.97970814301138           ,              6.06187778469121           ,              6.06252291727466           ,              6.0591923803224            ,              6.06023036917083           ,              6.05922690626285           ,              6.06221274519261           ,              6.06423278697906           ,              5.97465526743312           ,              6.08321390397283           ,              6.69179689755114           ,              6.71899912582457           ,              6.7111617281466            ,              6.71398112825939           ,              6.71131190518863           ,              6.71792608563282           ,              6.69636168647101           ,              6.06423173744136           ,              6.08098153450943           ,              6.71292659893909           ,              6.73795550594511           ,              6.7267064150371            ,              6.73879184330014           ,              6.72706605201901           ,              6.73452578856114           ,              6.71792141172346           ,              6.06221275517992           ,              6.07757646173995           ,              6.7062351937648            ,              6.73085840936545           ,              6.74064033036878           ,              6.74625340090915           ,              6.74077453276533           ,              6.72731985056089           ,              6.71138512529303           ,              6.05924418618295           ,              6.07853821103635           ,              6.70843600407654           ,              6.74049975308479           ,              6.74531725556203           ,              6.75         ,              6.74545529486337           ,              6.73696735359452           ,              6.71356173641464           ,              6.06008872905485           ,              6.07836304658349           ,              6.70796560007249           ,              6.73843708851954           ,              6.74459367244155           ,              6.75         ,              6.7447312338512            ,              6.73490610907713           ,              6.71309512447796           ,              6.05993353341909           ,              6.07838183036662           ,              6.70804389656024           ,              6.73872798970454           ,              6.74469705071412           ,              6.75         ,              6.74483466894401           ,              6.73519621875994           ,              6.71317287062613           ,              6.05995048561551           ,              6.07838332003976           ,              6.70803421919986           ,              6.73871580879183           ,              6.74469018847881           ,              6.75         ,              6.74482779867817           ,              6.73518431133385           ,              6.71316325028494           ,              6.05995170769283           ,              6.07838167406954           ,              6.70803463453291           ,              6.73870597137424           ,              6.74468798302959           ,              6.75         ,              6.74482559542423           ,              6.73517438783443           ,              6.71316367015822           ,              6.05995026350059           ,              6.07838243988364           ,              6.70803494433542           ,              6.73871182153628           ,              6.74468954383335           ,              6.75         ,              6.74482715509305           ,              6.73518027021711           ,              6.71316397221203           ,              6.05995094610215           ,              6.07838169239466           ,              6.70803465214786           ,              6.73870600720982           ,              6.74468799659746           ,              6.75         ,              6.7448256090103            ,              6.73517442327724           ,              6.71316368867765           ,              6.05995027816705           ,              6.07838327122697           ,              6.70803413442128           ,              6.73871587602296           ,              6.74469023828567           ,              6.75         ,              6.74482784848233           ,              6.73518437936807           ,              6.71316316276493           ,              6.05995166997796           ,              6.07838193750709           ,              6.7080443664931            ,              6.73872715629201           ,              6.74469652135664           ,              6.75         ,              6.74483413926575           ,              6.7351953860168            ,              6.71317334583939           ,              6.05995056458982           ,              6.07836263912393           ,              6.70796252663316           ,              6.73843919961499           ,              6.74459576495176           ,              6.75         ,              6.74473332884056           ,              6.73490820366031           ,              6.71309205517722           ,              6.05993320697676           ,              6.07854209248998           ,              6.70845768075358           ,              6.74052096959974           ,              6.74531897309685           ,              6.75         ,              6.7454569991363            ,              6.73698866989553           ,              6.71358329892197           ,              6.06009214895741           ,              6.07753741023892           ,              6.70608121455155           ,              6.73050098043662           ,              6.74050848809418           ,              6.74611713183908           ,              6.74064274469905           ,              6.72696205421779           ,              6.71123189279377           ,              6.05920932937587           ,              6.08132910217199           ,              6.71400357728506           ,              6.74138432048043           ,              6.73024318759492           ,              6.74232341222235           ,              6.7306024725423            ,              6.73795500734842           ,              6.71899490452872           ,              6.06252301071658           ,              6.08056388659641           ,              6.68722023481756           ,              6.71400805108776           ,              6.70601080447912           ,              6.70885904234963           ,              6.70616172397084           ,              6.71293152029414           ,              6.69179684151981           ,              6.06187671301095           ,              5.98456155408388           ,              6.08056512643038           ,              6.08132892932812           ,              6.0775185420073            ,              6.07869834889147           ,              6.07755718192977           ,              6.08098147406759           ,              6.08321510990338           ,              5.97970815023056           ,              
 8            ,              28800        ,              6.01408011523939           ,             -0.735919884760607          ,              5.70157544539616           ,              5.63947232718709           ,              5.70157526460714           ,              5.75798505440059           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              3.73286127155665           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.64763774504159           ,              5.88120312332437           ,              5.98816062784117           ,              5.99235216773183           ,              5.99246075828914           ,              5.99219407841175           ,              5.99237151615027           ,              5.99307275959218           ,              5.98360755821331           ,              5.90840998788511           ,              5.96034446457356           ,              6.40632336562155           ,              6.51506672910914           ,              6.51748942061698           ,              6.51435836890754           ,              6.51659964240671           ,              6.52317348631305           ,              6.35506894483822           ,              5.98360830510863           ,              5.97142463583517           ,              6.58555404486431           ,              6.73968752454906           ,              6.74741850734745           ,              6.74572466779821           ,              6.74645954279152           ,              6.74592958430151           ,              6.52317303385949           ,              5.9930725727409            ,              5.97057449334094           ,              6.57801948794836           ,              6.73739890763516           ,              6.74081718178864           ,              6.73581010570672           ,              6.73778671637336           ,              6.74638921850821           ,              6.51652277202259           ,              5.99236489586467           ,              5.97043552103194           ,              6.57645900765945           ,              6.73760456807552           ,              6.74266298137003           ,              6.74533791248523           ,              6.73868466773739           ,              6.74609172209013           ,              6.5149239393638            ,              5.99224386405454           ,              5.97049868146212           ,              6.57724801039211           ,              6.73840765709572           ,              6.74572637621161           ,              6.74678026844325           ,              6.74161814172305           ,              6.74639509359597           ,              6.51559682323366           ,              5.99229898587187           ,              5.97048715111145           ,              6.57712107478019           ,              6.73827661222165           ,              6.74530197009947           ,              6.74660189421853           ,              6.74121390546204           ,              6.74634249030802           ,              6.51548658798711           ,              5.99228942045622           ,              5.9704878110943            ,              6.57712592378144           ,              6.73829062362528           ,              6.74531394900656           ,              6.74660499819608           ,              6.74122413651882           ,              6.74634841487297           ,              6.51549059865069           ,              5.99228977112587           ,              5.97048814392126           ,              6.57713026184744           ,              6.73829079119674           ,              6.7453282230256            ,              6.74661122152426           ,              6.74123819717822           ,              6.74634834150128           ,              6.51549451462416           ,              5.9922901361996            ,              5.97048795060706           ,              6.57712800448756           ,              6.73828992011892           ,              6.74532130464937           ,              6.74660831862534           ,              6.74123148301812           ,              6.74634816267693           ,              6.51549249496941           ,              5.99228994295809           ,              5.97048820943078           ,              6.57713086772989           ,              6.73829143917098           ,              6.74532993779594           ,              6.74661202702448           ,              6.74123983864508           ,              6.7463482759654            ,              6.51549506905674           ,              5.9922901898642            ,              5.9704875192204            ,              6.57712290589587           ,              6.73828779661638           ,              6.74530547276914           ,              6.74660105041601           ,              6.74121595170664           ,              6.74634870949677           ,              6.51548787952358           ,              5.99228952664161           ,              5.97048819476419           ,              6.57713338643727           ,              6.73828718547852           ,              6.74533587144772           ,              6.74661756905124           ,              6.74124698001521           ,              6.74634081187517           ,              6.51549743629535           ,              5.99229031160108           ,              5.97049627824138           ,              6.57721094629659           ,              6.73837657831412           ,              6.74563389602389           ,              6.74673853188791           ,              6.74152575411065           ,              6.74640706902287           ,              6.51556585483464           ,              5.99229688669833           ,              5.97043126494326           ,              6.57648244770473           ,              6.73763471653469           ,              6.74259185300257           ,              6.74528804216884           ,              6.73863725127211           ,              6.74600249985263           ,              6.51492749308529           ,              5.99224040385155           ,              5.97067431455645           ,              6.57902485315934           ,              6.73883646709088           ,              6.74455512021959           ,              6.73956117773146           ,              6.74078009596203           ,              6.74739954048018           ,              6.51738589017191           ,              5.99245196600655           ,              5.97059645753461           ,              6.57664164718365           ,              6.73089872824086           ,              6.73897494053848           ,              6.73696675057464           ,              6.73752458520186           ,              6.73970464208253           ,              6.51507394221392           ,              5.99235292378106           ,              5.96559396549418           ,              6.46086840560504           ,              6.57663295009436           ,              6.57914931390554           ,              6.57581509068319           ,              6.57811089882635           ,              6.58555795726553           ,              6.40632048332996           ,              5.98816110461433           ,              5.85168513805594           ,              5.96559356036154           ,              5.97059544278375           ,              5.97068472620024           ,              5.97037856892655           ,              5.97058245993256           ,              5.97142466527351           ,              5.9603437454169            ,              5.88120319592243           ,              
 12           ,              43200        ,              5.61463404831653           ,             -1.13536595168347           ,              5.44034181184049           ,              5.17498545512741           ,              5.44034118900016           ,              5.6938949501142            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              1.0178117515524            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.6217081555582            ,              5.74159207979234           ,              5.95243736189833           ,              5.96645665392073           ,              5.96673771507087           ,              5.96669238409214           ,              5.96700687823472           ,              5.96549966936505           ,              5.94758640951819           ,              5.86225296669835           ,              5.8166761750512            ,              6.14651847746118           ,              6.33250877908964           ,              6.34034792825789           ,              6.33989457376946           ,              6.34326189285115           ,              6.31838555167367           ,              6.12701408366372           ,              5.94758578446896           ,              5.83809297669931           ,              6.3446658252233            ,              6.67936255296422           ,              6.69857823740425           ,              6.698383368097             ,              6.70217487704455           ,              6.65658536300894           ,              6.31838814460376           ,              5.96549872805972           ,              5.83972716278329           ,              6.37019389588204           ,              6.72576837208297           ,              6.74759705495113           ,              6.74755388132727           ,              6.75         ,              6.70226938840764           ,              6.34333171418332           ,              5.96701526238573           ,              5.83927252917532           ,              6.3664695161985            ,              6.72152080923241           ,              6.73883929273427           ,              6.73999850223744           ,              6.74808640519254           ,              6.69841336050625           ,              6.33975645695666           ,              5.96667310456854           ,              5.83929238599182           ,              6.36649190353747           ,              6.72181326869947           ,              6.74617493447423           ,              6.7418962095824            ,              6.75         ,              6.69854796482776           ,              6.33967753467941           ,              5.96667380866691           ,              5.83930660194224           ,              6.36667257171576           ,              6.72209097717125           ,              6.74650838312804           ,              6.74274786767844           ,              6.75         ,              6.69873868236622           ,              6.33983357461145           ,              5.96668744675907           ,              5.83930264711121           ,              6.36663494403061           ,              6.72203361177642           ,              6.74644052506321           ,              6.74258188868305           ,              6.75         ,              6.69869886980001           ,              6.33980205445147           ,              5.96668433886857           ,              5.83930299071976           ,              6.36663667547584           ,              6.72203632809614           ,              6.74644278772048           ,              6.74258579575297           ,              6.75         ,              6.69870169332484           ,              6.33980326733229           ,              5.96668450376584           ,              5.83930316402527           ,              6.36663841479541           ,              6.72203874524595           ,              6.7464459430191            ,              6.74259394644889           ,              6.75         ,              6.69870299581327           ,              6.33980484923623           ,              5.96668466570133           ,              5.83930284802848           ,              6.36663551377345           ,              6.72203470492823           ,              6.74644101326922           ,              6.74258148190907           ,              6.75         ,              6.69870023602281           ,              6.33980215456367           ,              5.96668438818801           ,              5.8393032949109            ,              6.36664201216226           ,              6.72204399271158           ,              6.74645155491525           ,              6.74260844108275           ,              6.75         ,              6.69870740335951           ,              6.33980871725934           ,              5.96668493416133           ,              5.83930475264602           ,              6.36664327410987           ,              6.72204567954186           ,              6.74646256560501           ,              6.74263844201382           ,              6.75         ,              6.69870239938292           ,              6.33980608778844           ,              5.96668539508222           ,              5.83929206947943           ,              6.3665533507433            ,              6.72191927496255           ,              6.74627094112763           ,              6.74210403327898           ,              6.75         ,              6.69863075959192           ,              6.33973821929368           ,              5.96667605869533           ,              5.83931693926566           ,              6.36673220264034           ,              6.72187212587428           ,              6.74593454003105           ,              6.74099223923882           ,              6.7496424965268            ,              6.69871094012316           ,              6.33994928012471           ,              5.96670372017992           ,              5.83943696925527           ,              6.36722500932312           ,              6.72174797486655           ,              6.74507551622476           ,              6.73830490894401           ,              6.74766904810419           ,              6.69877361542511           ,              6.34048322432674           ,              5.96674836928221           ,              5.8387611326719            ,              6.35849106195769           ,              6.70199684802677           ,              6.72146658133102           ,              6.72130216260131           ,              6.72562029344393           ,              6.67934347234368           ,              6.33248797071247           ,              5.96645360507187           ,              5.82481610196852           ,              6.16867933971318           ,              6.3585289268839            ,              6.36708379393153           ,              6.36656971975732           ,              6.37011557271218           ,              6.34467667721764           ,              6.14652317469934           ,              5.95243738129302           ,              5.61498002470145           ,              5.82481583331162           ,              5.83876480197271           ,              5.83942648999323           ,              5.83928666026057           ,              5.83971644342057           ,              5.83809473002189           ,              5.81667656090353           ,              5.74159197179422           ,              
